No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1395","IMIAF","IMI plc","8.82B","34.00","1.80%","3.02B"
"1396","IMIUY","IMI plc","8.82B","35.04","-0.17%","3.02B"
"1397","NRDXF","Nordex SE","8.82B","39.20","-","8.46B"
"1398","NRXXY","Nordex SE","8.82B","18.50","-0.40%","8.46B"
"1399","KAIKY","Kawasaki Kisen Kaisha, Ltd.","8.81B","14.44","-","6.83B"
"1400","KAKKF","Kawasaki Kisen Kaisha, Ltd.","8.81B","13.30","-","6.83B"
"1401","DELHY","Delivery Hero SE","8.79B","2.910","-0.34%","15.74B"
"1402","DLVHF","Delivery Hero SE","8.79B","28.24","-","15.74B"
"1403","BALDF","Fastighets AB Balder (publ)","8.79B","7.55","9.58%","1.44B"
"1404","HULCF","Hulic Co., Ltd.","8.79B","10.72","-0.74%","4.74B"
"1405","ALEUY","Allegro.eu S.A.","8.76B","9.24","-","3.16B"
"1406","YASKF","YASKAWA Electric Corporation","8.76B","34.00","-","3.45B"
"1407","YASKY","YASKAWA Electric Corporation","8.76B","67.17","2.22%","3.45B"
"1408","MTLHF","Mitsubishi Chemical Group Corporation","8.73B","5.77","-","26.79B"
"1409","MTLHY","Mitsubishi Chemical Group Corporation","8.73B","31.75","1.36%","26.79B"
"1410","RTLLF","RATIONAL Aktiengesellschaft","8.72B","770.77","-6.89%","1.45B"
"1411","NPTLF","Northam Platinum Holdings Limited","8.71B","24.19","4.36%","1.85B"
"1412","LOTBY","Lotus Bakeries NV","8.70B","102.72","-","1.51B"
"1413","CIBEY","Commercial International Bank Egypt (CIB) S.A.E.","8.70B","2.400","-2.04%","2.59B"
"1414","NGKSY","Niterra Co., Ltd.","8.70B","21.40","-","4.59B"
"1415","SMORF","Smoore International Holdings Limited","8.68B","1.060","-","1.91B"
"1416","JFEEF","JFE Holdings, Inc.","8.68B","12.98","-","31.36B"
"1417","SMHRY","Smoore International Holdings Limited","8.68B","2.210","-","1.91B"
"1418","VARRY","Vår Energi ASA","8.65B","7.00","2.79%","7.44B"
"1419","MDBPF","Medibank Private Limited","8.63B","3.300","4.10%","5.61B"
"1420","TCYMF","Tingyi (Cayman Islands) Holding Corp.","8.63B","1.300","-3.70%","11.10B"
"1421","TYCMY","Tingyi (Cayman Islands) Holding Corp.","8.63B","30.66","-1.98%","11.10B"
"1422","CEVMF","CTS Eventim AG & Co. KGaA","8.60B","94.15","-","3.44B"
"1423","CEVMY","CTS Eventim AG & Co. KGaA","8.60B","22.89","-4.09%","3.44B"
"1424","UBTRF","Ubtech Robotics Corp Ltd","8.58B","17.26","3.51%","200.95M"
"1425","BRRLY","Barry Callebaut AG","8.58B","15.64","-2.04%","18.49B"
"1426","BYCBF","Barry Callebaut AG","8.58B","1,549.29","-3.17%","18.49B"
"1427","MLLUY","Metallurgical Corporation of China Ltd.","8.56B","4.200","-19.85%","66.65B"
"1428","FOVSY","Ford Otomotiv Sanayi A.S.","8.55B","13.52","36.02%","15.34B"
