No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"80","PYPL","PayPal Holdings, Inc.","53.09B","56.74","-","32.86B"
"81","RKLB","Rocket Lab Corporation","51.68B","96.75","6.60%","554.54M"
"82","BKR","Baker Hughes Company","51.18B","51.87","-0.25%","27.71B"
"83","BIDU","Baidu, Inc.","51.06B","148.53","-0.58%","18.33B"
"84","EA","Electronic Arts Inc.","50.94B","204.24","0.04%","7.29B"
"85","CRWV","CoreWeave, Inc.","50.79B","101.92","7.27%","4.31B"
"86","AXON","Axon Enterprise, Inc.","50.52B","635.94","-0.20%","2.56B"
"87","FAST","Fastenal Company","50.28B","43.80","0.62%","8.00B"
"88","WDAY","Workday, Inc.","49.90B","189.72","-1.56%","9.23B"
"89","ARGX","argenx SE","49.52B","798.77","-1.78%","3.68B"
"90","MPWR","Monolithic Power Systems, Inc.","49.50B","1,033.17","2.34%","2.66B"
"91","FER","Ferrovial SE","48.70B","67.68","0.50%","10.98B"
"92","ALNY","Alnylam Pharmaceuticals, Inc.","47.42B","358.91","-0.10%","3.21B"
"93","EXC","Exelon Corporation","44.90B","44.44","0.66%","24.32B"
"94","XEL","Xcel Energy Inc.","44.67B","75.51","0.20%","14.23B"
"95","ROP","Roper Technologies, Inc.","44.53B","413.73","-0.13%","7.72B"
"96","TTWO","Take-Two Interactive Software, Inc.","44.31B","239.80","-1.86%","6.22B"
"97","ASTS","AST SpaceMobile, Inc.","43.54B","117.60","16.15%","18.53M"
"98","FANG","Diamondback Energy, Inc.","43.09B","150.46","-0.24%","14.63B"
"99","EBAY","eBay Inc.","42.61B","94.26","-1.88%","10.71B"
"100","DDOG","Datadog, Inc.","42.03B","119.85","-0.84%","3.21B"
"101","TCOM","Trip.com Group Limited","40.98B","62.70","2.28%","8.39B"
"102","CTSH","Cognizant Technology Solutions Corporation","40.94B","84.83","0.01%","20.86B"
"103","JD","JD.com, Inc.","40.84B","28.78","-2.14%","183.14B"
"104","CCEP","Coca-Cola Europacific Partners PLC","40.72B","88.99","-0.28%","24.47B"
"105","MCHP","Microchip Technology Incorporated","40.65B","75.21","1.02%","4.21B"
"106","SYM","Symbotic Inc.","40.56B","67.63","0.85%","2.25B"
"107","CPRT","Copart, Inc.","39.83B","41.15","-0.24%","4.66B"
"108","PAYX","Paychex, Inc.","39.74B","110.71","0.18%","6.03B"
"109","ONC","BeOne Medicines AG","37.58B","339.59","0.38%","4.97B"
"110","UAL","United Airlines Holdings, Inc.","37.22B","114.97","-0.91%","58.37B"
"111","KDP","Keurig Dr Pepper Inc.","37.16B","27.35","-1.97%","16.17B"
"112","GEHC","GE HealthCare Technologies Inc.","37.02B","81.28","-1.49%","20.25B"
"113","ODFL","Old Dominion Freight Line, Inc.","36.70B","175.53","-1.50%","5.57B"
"114","MDLN","Medline Inc.","36.18B","43.48","1.80%","27.43B"
"115","FISV","Fiserv, Inc.","35.81B","66.58","-0.30%","21.16B"
"116","SATS","EchoStar Corporation","35.75B","124.20","0.53%","15.18B"
"117","TER","Teradyne, Inc.","35.74B","228.21","0.22%","2.86B"
"118","EXPE","Expedia Group, Inc.","35.37B","288.64","-1.92%","14.37B"
"119","RYAAY","Ryanair Holdings plc","34.87B","68.56","-0.64%","17.69B"
"120","INSM","Insmed Incorporated","34.40B","161.30","1.27%","447.02M"
