No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"80","DDOG","Datadog, Inc.","41.74B","119.02","-1.52%","3.21B"
"81","CTSH","Cognizant Technology Solutions Corporation","40.90B","84.74","-0.09%","20.86B"
"82","MCHP","Microchip Technology Incorporated","40.37B","74.70","0.34%","4.21B"
"83","CCEP","Coca-Cola Europacific Partners PLC","40.32B","89.29","0.06%","24.47B"
"84","PAYX","Paychex, Inc.","39.91B","111.18","0.61%","6.03B"
"85","CPRT","Copart, Inc.","39.73B","41.04","-0.51%","4.66B"
"86","GEHC","GE HealthCare Technologies Inc.","37.24B","81.75","-0.92%","20.25B"
"87","KDP","Keurig Dr Pepper Inc.","37.24B","27.41","-1.76%","16.17B"
"88","ODFL","Old Dominion Freight Line, Inc.","36.73B","175.65","-1.44%","5.57B"
"89","ZS","Zscaler, Inc.","34.12B","213.98","1.61%","2.83B"
"90","TEAM","Atlassian Corporation","31.19B","118.55","-7.71%","5.46B"
"91","VRSK","Verisk Analytics, Inc.","30.72B","220.41","-0.74%","3.03B"
"92","KHC","The Kraft Heinz Company","27.85B","23.53","-2.93%","25.16B"
"93","CSGP","CoStar Group, Inc.","27.69B","65.34","3.09%","3.06B"
"94","CHTR","Charter Communications, Inc.","27.69B","189.76","-2.49%","55.10B"
"95","DXCM","DexCom, Inc.","27.12B","69.54","0.43%","4.52B"
"96","ON","ON Semiconductor Corporation","24.28B","60.33","0.08%","6.19B"
"97","BIIB","Biogen Inc.","24.12B","164.42","-2.46%","10.07B"
"98","LULU","lululemon athletica inc.","23.68B","201.87","-1.53%","11.07B"
"99","GFS","GlobalFoundries Inc.","22.92B","41.24","-0.70%","6.79B"
"100","TTD","The Trade Desk, Inc.","17.16B","35.48","-2.07%","2.79B"
"101","CDW","CDW Corporation","17.15B","131.75","-0.41%","22.10B"
