Symbol,Name,Column 3,Price,Change,Change %,52 Wk Range
"^TNX","CBOE Interest Rate 10 Year T No","","4.2310 -4.46 (-0.06%)","+0.0710","+1.71%","0.00 5.00"
"ZN=F","10-Year T-Note Futures,Mar-2026","","111.75 -83.11 (-0.17%)","-0.47","-0.42%","108.13 114.31"
"^IRX","13 WEEK TREASURY BILL","","3.5570 -14.63 (-0.06%)","-0.0080","-0.22%","0.00 5.35"
"^FVX","Treasury Yield 5 Years","","3.8280 -1.75 (-0.01%)","+0.0660","+1.75%","0.00 4.99"
"^TYX","Treasury Yield 30 Years","","4.8400 +86.36 (+1.15%)","+0.0530","+1.11%","0.00 5.15"
"2YY=F","2-Year Yield Futures,Jan-2026","","3.4800 -2.16 (-0.21%)","0.0000","0.00%","3.38 4.38"
"","","","","","",""
