No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"79","AVAL","Grupo Aval Acciones y Valores S.A.","4.94B","4.340","1.40%","3.42B"
"80","FFIN","First Financial Bankshares, Inc.","4.64B","32.60","-0.17%","581.88M"
"81","TCBI","Texas Capital Bancshares, Inc.","4.51B","98.71","0.34%","1.15B"
"82","IBOC","International Bancshares Corporation","4.40B","70.71","0.03%","821.72M"
"83","ASB","Associated Banc-Corp","4.40B","26.61","-0.34%","1.10B"
"84","EBC","Eastern Bankshares, Inc.","4.39B","19.47","-0.46%","627.58M"
"85","SFBS","ServisFirst Bancshares, Inc.","4.31B","78.96","0.83%","497.70M"
"86","UCB","United Community Banks, Inc.","4.07B","33.76","-0.44%","1.01B"
"87","TFSL","TFS Financial Corporation","3.97B","14.23","0.71%","318.97M"
"88","BANF","BancFirst Corporation","3.81B","114.44","0.13%","666.55M"
"89","FIBK","First Interstate BancSystem, Inc.","3.81B","37.04","-0.62%","953.70M"
"90","INDB","Independent Bank Corp.","3.80B","76.57","-0.07%","712.22M"
"91","BBAR","Banco BBVA Argentina S.A.","3.73B","17.53","1.15%","1.54B"
"92","FULT","Fulton Financial Corporation","3.61B","19.98","-0.94%","1.23B"
"93","INTR","Inter & Co, Inc.","3.55B","8.08","-0.92%","1.06B"
"94","BKU","BankUnited, Inc.","3.53B","46.97","0.59%","1.02B"
"95","RNST","Renasant Corporation","3.48B","36.63","-0.76%","775.31M"
"96","CATY","Cathay General Bancorp","3.46B","50.83","0.04%","711.62M"
"97","FBP","First BanCorp.","3.34B","21.26","-0.84%","902.79M"
"98","WSBC","WesBanco, Inc.","3.31B","34.46","-0.36%","804.35M"
"99","FHB","First Hawaiian, Inc.","3.31B","26.72","-0.63%","824.31M"
"100","SBCF","Seacoast Banking Corporation of Florida","3.28B","33.91","-0.32%","556.54M"
"101","CBU","Community Financial System, Inc.","3.27B","62.16","-0.91%","776.26M"
"102","MCHB","Mechanics Bancorp","3.26B","14.73","0.27%","566.74M"
"103","BANC","Banc of California, Inc.","3.25B","20.91","0.19%","1.02B"
"104","FBK","FB Financial Corporation","3.22B","60.18","-0.73%","462.66M"
"105","WSFS","WSFS Financial Corporation","3.10B","56.76","-0.75%","1.01B"
"106","TBBK","The Bancorp, Inc.","3.06B","69.77","-0.88%","523.16M"
