No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"83","DE","Deere & Company","139.26B","513.73","-0.25%","45.63B"
"84","SYK","Stryker Corporation","138.79B","362.92","0.12%","24.38B"
"85","UNP","Union Pacific Corporation","136.79B","230.61","0.04%","24.55B"
"86","LMT","Lockheed Martin Corporation","134.44B","581.00","0.54%","73.35B"
"87","ETN","Eaton Corporation plc","134.14B","345.36","3.57%","26.63B"
"88","NOW","ServiceNow, Inc.","133.76B","128.94","-1.70%","12.67B"
"89","BSX","Boston Scientific Corporation","131.77B","88.85","-1.31%","19.35B"
"90","WELL","Welltower Inc.","131.70B","191.89","1.97%","9.91B"
"91","PANW","Palo Alto Networks, Inc.","131.52B","188.69","0.51%","9.56B"
"92","PLD","Prologis, Inc.","127.81B","134.37","1.22%","9.10B"
"93","MDT","Medtronic plc","125.47B","97.87","-1.14%","34.76B"
"94","ADBE","Adobe Inc.","125.00B","298.62","-1.80%","23.77B"
"95","NEM","Newmont Corporation","124.14B","114.04","-0.15%","21.50B"
"96","COP","ConocoPhillips","120.64B","97.63","-1.31%","61.28B"
"97","PH","Parker-Hannifin Corporation","118.99B","942.97","-0.17%","20.03B"
"98","PGR","The Progressive Corporation","118.94B","202.83","-0.34%","85.17B"
"99","CB","Chubb Limited","118.47B","301.02","-0.03%","58.84B"
"100","KKR","KKR & Co. Inc.","118.33B","132.75","1.09%","22.25B"
"101","CRWD","CrowdStrike Holdings, Inc.","115.08B","456.49","0.33%","4.57B"
"102","BMY","Bristol-Myers Squibb Company","113.03B","55.52","-1.94%","48.03B"
"103","VRTX","Vertex Pharmaceuticals Incorporated","112.79B","444.55","1.28%","11.72B"
"104","CEG","Constellation Energy Corporation","110.21B","304.15","-10.86%","24.84B"
"105","HCA","HCA Healthcare, Inc.","107.77B","472.26","-2.39%","74.37B"
"106","SBUX","Starbucks Corporation","105.69B","92.95","-0.35%","37.18B"
"107","ADP","Automatic Data Processing, Inc.","105.18B","260.06","-0.05%","20.90B"
"108","MCK","McKesson Corporation","103.62B","839.50","-0.55%","387.09B"
"109","MO","Altria Group, Inc.","103.61B","61.72","0.23%","20.17B"
"110","CMCSA","Comcast Corporation","101.26B","27.79","-1.98%","123.31B"
